sci:Sycon ciliatum
pti:Phaeodactylum tricornutum
ptc:Populus trichocarpa
pxy:Plutella xylostella
pta:Pinus taeda
tch:Tupaia chinensis
aly:Arabidopsis lyrata
osa:Oryza sativa
lla:Lagothrix lagotricha
ptr:Pan troglodytes
nlo:Nasonia longicornis
tca:Tribolium castaneum
cln:Cunninghamia lanceolata
xtr:Xenopus tropicalis
han:Helianthus annuus
hru:Haliotis rufescens
gma:Glycine max
zma:Zea mays
cla:Cerebratulus lacteus
bfl:Branchiostoma floridae
nvi:Nasonia vitripennis
hiv1:Human immunodeficiency virus 1
rgl:Rehmannia glutinosa
psj:Phytophthora sojae
rno:Rattus norvegicus
kshv:Kaposi sarcoma-associated herpesvirus
dan:Drosophila ananassae
cel:Caenorhabditis elegans
ame:Apis mellifera
ssp:Saccharum sp.
amg:Acacia mangium
ssl:Salvia sclarea
nve:Nematostella vectensis
ttu:Triticum turgidum
lca:Lemur catta
lco:Leucosolenia complicata
pgi:Panax ginseng
ssa:Salmo salar
dya:Drosophila yakuba
ssc:Sus scrofa
dme:Drosophila melanogaster
dpu:Daphnia pulex
hci:Helianthus ciliaris
dps:Drosophila pseudoobscura
dpr:Digitalis purpurea
crt:Citrus reticulata
lja:Lotus japonicus
cme:Cucumis melo
tre:Terebratulina retusa
xla:Xenopus laevis
hsv1:Herpes Simplex Virus 1
mcmv:Mouse cytomegalovirus
dpe:Drosophila persimilis
hsv2:Herpes Simplex Virus 2
esi:Ectocarpus siliculosus
cre:Chlamydomonas reinhardtii
pbi:Pygathrix bieti
crm:Caenorhabditis remanei
tgu:Taeniopygia guttata
ola:Oryzias latipes
pvu:Phaseolus vulgaris
mdo:Monodelphis domestica
mdm:Malus domestica
ipu:Ictalurus punctatus
cfa:Canis familiaris
odi:Oikopleura dioica
ebv:Epstein Barr virus
bta:Bos taurus
pma:Petromyzon marinus
rrv:Rhesus monkey rhadinovirus
rmi:Rhipicephalus microplus
pmi:Patiria miniata
emu:Echinococcus multilocularis
lus:Linum usitatissimum
asu:Ascaris suum
sha:Sarcophilus harrisii
peu:Populus euphratica
mghv:Mouse gammaherpesvirus 68
