@relation dataset

@attribute G+C numeric
@attribute MFEI1 numeric
@attribute MFEI2 numeric
@attribute dG numeric
@attribute dQ numeric
@attribute dF numeric
@attribute ZD numeric
@attribute EAFE numeric
@attribute Diff numeric
@attribute dS numeric
@attribute dS/L numeric
@attribute Avg_Bp_Stem numeric
@attribute |A-U|/L numeric
@attribute |G-C|/L numeric
@attribute |G-U|/L numeric
@attribute (A-U)/stems numeric
@attribute (G-C)/stems numeric
@attribute (G-U)/stems numeric
@attribute MFEI3 numeric
@attribute MFEI4 numeric
@attribute Diversity numeric
@attribute tri1 numeric
@attribute tri2 numeric
@attribute tri3 numeric
@attribute tri4 numeric
@attribute loops numeric
@attribute dustmasker numeric
@attribute translation numeric
@attribute CLASS {0,1}

@data
51.95,-0.005374398460057748,-0.0698051948051948,-0.2792,0.2905,0.381966,0.0316,-0.29688311688311686,0.017662337662337654,-591.0,-7.675324675324675,5.25,0.09090909090909091,0.16883116883116883,0.012987012987012988,8.333333333333334,15.476190476190476,1.1904761904761905,-0.05584415584415584,-1.0238095238095237,7.41,0.0526315789474,0.0526315789474,0.0657894736842,0.0921052631579,0.0135135135135,0.0,0.337662337662,0
38.16,-0.005516247379454927,-0.042105263157894736,-0.2105,0.2287,0.267949,0.0322,-0.22657894736842105,0.016052631578947353,-606.5,-7.980263157894737,4.0,0.11842105263157894,0.13157894736842105,0.013157894736842105,9.0,10.0,1.0,-0.03508771929824561,-0.8,5.215,0.0666666666667,0.0666666666667,0.106666666667,0.08,0.0,0.0,0.328947368421,0
40.20,-0.005271144278606965,-0.04235294117647059,-0.2119,0.2150,0.267949,0.0346,-0.2330392156862745,0.021176470588235297,-690.6,-6.770588235294118,6.0,0.17647058823529413,0.0784313725490196,0.0392156862745098,12.0,5.333333333333334,2.666666666666667,-0.03529411764705883,-0.7203333333333333,8.035,0.128712871287,0.108910891089,0.039603960396,0.039603960396,0.0,0.0,0.333333333333,0
51.04,-0.006551724137931034,-0.05572916666666667,-0.3344,0.0772,0.198062,0.0316,-0.3480208333333333,0.013645833333333282,-898.3,-9.357291666666667,4.833333333333333,0.125,0.15625,0.020833333333333332,6.8965517241379315,8.620689655172415,1.1494252873563218,-0.04776785714285715,-1.106896551724138,2.515,0.0421052631579,0.0526315789474,0.0947368421053,0.0842105263158,0.0,0.0,0.333333333333,0
55.56,-0.007548596112311015,-0.20972222222222223,-0.4194,0.0513,1.000000,0.0345,-0.4325,0.013055555555555574,-612.9,-8.5125,13.0,0.1111111111111111,0.16666666666666666,0.08333333333333333,15.384615384615385,23.076923076923077,11.538461538461538,-0.1398148148148148,-1.1615384615384614,1.62,0.0704225352113,0.112676056338,0.12676056338,0.056338028169,0.0,0.0,0.333333333333,0
47.00,-0.0067872340425531915,-0.07975,-0.3190,0.0547,0.381966,0.0382,-0.3281,0.009100000000000037,-775.1,-7.751,7.75,0.15,0.16,0.0,12.096774193548388,12.903225806451612,0.0,-0.0638,-1.0290322580645161,2.05,0.0909090909091,0.0909090909091,0.0606060606061,0.0606060606061,0.0,0.0,0.33,0
41.46,-0.007146647370959961,-0.07408536585365853,-0.2963,0.0726,0.381966,0.0442,-0.3015853658536585,0.005243902439024387,-625.8,-7.63170731707317,5.75,0.13414634146341464,0.14634146341463414,0.0,11.956521739130435,13.043478260869565,0.0,-0.059268292682926826,-1.056521739130435,1.53,0.0864197530864,0.0864197530864,0.0493827160494,0.0740740740741,0.0,0.0,0.329268292683,0
41.12,-0.005250486381322958,-0.030841121495327105,-0.2159,0.3760,0.152241,0.0316,-0.2316822429906542,0.015794392523364464,-878.3,-8.208411214953271,4.571428571428571,0.14018691588785046,0.102803738317757,0.056074766355140186,6.696428571428571,4.910714285714286,2.6785714285714284,-0.026985981308411216,-0.721875,11.97,0.0849056603774,0.122641509434,0.0754716981132,0.0377358490566,0.00961538461538,0.0,0.336448598131,0
38.57,-0.0069639616282084526,-0.13428571428571429,-0.2686,0.1508,1.000000,0.0468,-0.2817142857142857,0.013142857142857116,-542.6,-7.751428571428572,12.5,0.18571428571428572,0.11428571428571428,0.05714285714285714,26.0,16.0,8.0,-0.08952380952380952,-0.752,4.105,0.115942028986,0.159420289855,0.0869565217391,0.0434782608696,0.0,0.0,0.328571428571,0
73.02,-0.0062599287866337994,-0.11428571428571428,-0.4571,0.3202,0.381966,0.0335,-0.4826984126984127,0.025555555555555547,-596.8,-9.473015873015873,5.5,0.047619047619047616,0.25396825396825395,0.047619047619047616,3.409090909090909,18.181818181818183,3.409090909090909,-0.09142857142857143,-1.309090909090909,6.96,0.0483870967742,0.0645161290323,0.177419354839,0.129032258065,0.0,0.0,0.333333333333,0
