@relation miRNA-weka.filters.supervised.instance.SMOTE-C0-K5-P66.6666666667-S1

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute class {real,pseudo}

@data

0.009901,-0.011683,-6.8191,3.1114,-74.175,23.15,0.183908,11.764706,8.5,-0.029897,0.974483,0.380828,2.115127,4.461917,4.541392,0.226215,0.678935,0.00079,0.346435,4.984482,real
0.009901,-0.008919,-6.6208,1.6448,-38.02,16.32,0.162791,0,5.4,-0.028411,0.977381,0.306898,1.831897,2.627368,2.113069,0.373604,0.270259,0.027186,0.314311,1.4505,real
0.009901,-0.01727,-25.6282,8.8267,-86.5,38.65,0.295276,1.73913,57.5,-0.038145,0.999051,0.45237,3.240661,10.583171,7.700768,0.106296,0.735769,0.016277,0.729573,24.138316,real
0.009901,-0.01322,-9.8288,3.8057,-99.966667,26.433333,0.223684,16.666667,10,-0.033493,0.991081,0.39118,3.283593,4.705988,3.011123,0.225008,0.593278,0.009432,0.569037,7.102377,real
0.009901,-0.009564,-4.7565,3.8987,-65.925,19.5,0.168675,14.705882,8.5,-0.023347,0.962561,0.394265,1.511604,5.323899,3.325368,0.215125,0.550856,0.007645,0.694301,6.900104,real
0.009901,-0.011711,-7.8453,1.6799,-53.733333,26.066667,0.173333,18.518519,9,-0.03253,0.993239,0.357566,2.229796,3.547284,3.152811,0.28962,0.618921,0.00226,0.568563,3.204114,real
0.009901,-0.007837,-3.5783,2.6835,-62.866667,26.7,0.172414,12.5,10.666667,-0.021308,0.905412,0.33301,1.437162,3.424402,2.712982,0.299802,0.406562,0.00458,0.420315,5.675207,real
0.009901,-0.008167,-4.6982,2.1912,-55.45,19.85,0.147727,13.333333,7.5,-0.023954,0.91631,0.31237,1.632847,2.879665,2.204251,0.308718,0.374783,0.029112,0.492682,4.02541,real
0.009901,-0.010364,-7.0752,3.0446,-57.066667,29.533333,0.177215,16.666667,10,-0.027292,0.984474,0.373805,1.929564,4.091744,6.118544,0.240911,0.812417,0.040889,0.720582,3.408859,real
0.009901,-0.009473,-6.4233,3,-47.875,20.725,0.151163,16.666667,7.5,-0.027155,0.960482,0.335016,1.825193,3.176197,2.229283,0.30918,0.424052,0.027572,0.690698,5.070287,real
0.009901,-0.008623,-4.482,1.1739,-51.34,16.56,0.123596,10.344828,5.8,-0.026462,0.93931,0.306027,1.462194,2.696069,1.833119,0.320907,0.455019,0.029163,0.55885,4.130111,real
0.009901,-0.01143,-8.0127,2.3614,-81.433333,28.366667,0.194175,5.263158,12.666667,-0.030985,0.919394,0.339164,1.832005,3.50646,4.34172,0.258997,0.712603,0.002941,0.602518,7.666681,real
0.009901,-0.009908,-4.5639,1.9118,-78.75,19.625,0.178571,12.903226,7.75,-0.026848,0.912805,0.336825,1.551797,3.483988,2.555974,0.300159,0.387941,0.000651,0.544723,1.774338,real
0.009901,-0.007805,-3.5903,2.326,-54.675,20.175,0.144444,15.625,8,-0.021949,0.86125,0.306261,1.410854,2.982168,1.874246,0.302768,0.376765,0.020955,0.53936,2.082726,real
0.009901,-0.01022,-6.725,2.141,-72.975,17.9,0.172414,19.354839,7.75,-0.02868,0.912093,0.324979,1.860026,3.173601,3.270006,0.301183,0.545176,0.000699,0.497645,4.968476,real
0.009901,-0.011901,-6.7097,3.9004,-145.45,39.5,0.255814,11.428571,17,-0.030103,0.98814,0.390612,2.289623,4.718909,7.37071,0.199918,0.677965,0.003934,0.680581,8.462511,real
0.009901,-0.009421,-6.4049,3.2579,-50.133333,24.366667,0.169014,18.518519,9,-0.024771,0.976119,0.371218,2.460735,4.077358,4.173412,0.277336,0.60676,0.000414,0.644375,5.9784,real
0.009901,-0.008977,-4.5305,2.1309,-44.6,20.375,0.159574,14.705882,8.5,-0.024821,0.952935,0.344677,1.487253,3.445173,3.239093,0.289108,0.425392,0.030934,0.462964,5.191594,real
0.019802,-0.007914,-5.436,3.4278,-74.6,18.25,0.192771,6.25,8,-0.020525,0.826463,0.318602,1.241616,3.609011,1.932475,0.296729,0.380317,0.023668,0.349087,1.996481,real
0.009901,-0.009164,-4.5372,2.9237,-89.8,40.35,0.166667,20,20,-0.024743,0.903019,0.334478,1.506319,3.483869,2.455631,0.262212,0.512753,0.035591,0.539462,10.557688,real
0.009901,-0.009814,-5.1821,1.6562,-51.633333,22.833333,0.169014,16,8.333333,-0.027868,0.968116,0.340874,1.908909,3.272873,3.713781,0.267087,0.609234,0.020252,0.513376,6.976113,real
0.009901,-0.01045,-5.7364,3.0037,-45.333333,28.1,0.172414,14.705882,11.333333,-0.026738,0.969036,0.378699,1.957269,4.436979,6.632691,0.233116,0.656469,0.012826,0.506161,4.466696,real
0.009901,-0.010848,-8.497,3.1582,-112.65,44.75,0.141026,32.258065,15.5,-0.027295,0.97027,0.385585,2.195042,4.728413,5.22851,0.246493,0.585101,0.023298,0.698158,3.073231,real
