@relation dataset

@attribute G+C numeric
@attribute MFEI1 numeric
@attribute MFEI2 numeric
@attribute dG numeric
@attribute dQ numeric
@attribute dF numeric
@attribute ZD numeric
@attribute EAFE numeric
@attribute Diff numeric
@attribute dS numeric
@attribute dS/L numeric
@attribute Avg_Bp_Stem numeric
@attribute |A-U|/L numeric
@attribute |G-C|/L numeric
@attribute |G-U|/L numeric
@attribute (A-U)/stems numeric
@attribute (G-C)/stems numeric
@attribute (G-U)/stems numeric
@attribute MFEI3 numeric
@attribute MFEI4 numeric
@attribute Diversity numeric
@attribute tri1 numeric
@attribute tri2 numeric
@attribute tri3 numeric
@attribute tri4 numeric
@attribute loops numeric
@attribute dustmasker numeric
@attribute translation numeric
@attribute CLASS {0, 1}

@data
49.40,-0.010512145748987855,-0.17309236947791165,-0.5193,0.1056,0.585786,0.0319,-0.5360240963855422,0.016746987951807235,-615.5,-7.4156626506024095,9.333333333333334,0.13253012048192772,0.1686746987951807,0.03614457831325301,13.095238095238095,16.666666666666668,3.571428571428571,-0.12981927710843374,-1.5392857142857144,3.0,0.0731707317073,0.0975609756098,0.109756097561,0.0853658536585,0.0,0.0,0.33734939759,1
37.80,-0.011484126984126984,-0.21707317073170732,-0.4341,0.1224,1.000000,0.0396,-0.45719512195121953,0.023048780487804885,-735.8,-8.973170731707317,15.5,0.1951219512195122,0.15853658536585366,0.024390243902439025,25.806451612903224,20.967741935483872,3.225806451612903,-0.14471544715447154,-1.1483870967741936,3.66,0.172839506173,0.172839506173,0.0987654320988,0.111111111111,0.0,0.0,0.341463414634,1
39.80,-0.008537688442211056,-0.3397959183673469,-0.3398,0.1152,2.000000,0.0467,-0.36153061224489796,0.021734693877551045,-814.8,-8.314285714285713,36.0,0.17346938775510204,0.14285714285714285,0.05102040816326531,47.22222222222222,38.888888888888886,13.88888888888889,-0.16989795918367345,-0.9249999999999999,4.37,0.103092783505,0.164948453608,0.0927835051546,0.0927835051546,0.0,0.0,0.173469387755,1
40.91,-0.008834025910535321,-0.3613636363636364,-0.3614,0.1077,2.000000,0.0324,-0.38079545454545455,0.01943181818181815,-759.0,-8.625,33.0,0.18181818181818182,0.14772727272727273,0.045454545454545456,48.484848484848484,39.39393939393939,12.121212121212121,-0.1806818181818182,-0.9636363636363636,3.545,0.103448275862,0.172413793103,0.0919540229885,0.0919540229885,0.0,0.0,0.181818181818,1
52.38,-0.010204276441389843,-0.26726190476190476,-0.5345,0.0346,1.000000,0.0317,-0.5454761904761904,0.010952380952380972,-693.2,-8.252380952380953,16.0,0.14285714285714285,0.17857142857142858,0.05952380952380952,18.75,23.4375,7.8125,-0.17817460317460318,-1.403125,1.115,0.0963855421687,0.156626506024,0.168674698795,0.10843373494,0.0,0.0,0.333333333333,1
48.65,-0.003971223021582734,-0.04831081081081081,-0.1932,0.3415,0.381966,0.0336,-0.215,0.02175675675675675,-496.9,-6.714864864864865,4.75,0.10810810810810811,0.12162162162162163,0.02702702702702703,10.526315789473685,11.842105263157896,2.6315789473684212,-0.03864864864864865,-0.7526315789473684,7.62,0.0547945205479,0.0547945205479,0.0958904109589,0.0684931506849,0.15625,0.0,0.337837837838,0
37.23,-0.0029707225355895786,-0.027659574468085108,-0.1106,0.3493,0.518806,0.0325,-0.14968085106382978,0.03904255319148936,-609.1,-6.479787234042553,6.25,0.11702127659574468,0.11702127659574468,0.031914893617021274,11.0,11.0,3.0,-0.022127659574468085,-0.41600000000000004,10.465,0.0537634408602,0.0645161290323,0.0645161290323,0.0752688172043,0.190476190476,0.0,0.244680851064,0
50.00,-0.003954,-0.04939024390243902,-0.1977,0.4019,0.381966,0.0361,-0.22682926829268293,0.029146341463414643,-561.0,-6.841463414634147,4.75,0.08536585365853659,0.12195121951219512,0.024390243902439025,9.210526315789474,13.157894736842104,2.6315789473684212,-0.03951219512195121,-0.8531578947368421,11.28,0.0493827160494,0.0493827160494,0.0864197530864,0.0617283950617,0.197368421053,0.0,0.329268292683,0
30.65,-0.004215334420880914,-0.04301075268817204,-0.1292,0.3075,0.585786,0.0360,-0.15096774193548387,0.02177419354838709,-381.4,-6.151612903225806,4.666666666666667,0.12903225806451613,0.08064516129032258,0.016129032258064516,19.047619047619047,11.904761904761905,2.380952380952381,-0.03225806451612903,-0.5721428571428572,6.005,0.0819672131148,0.0819672131148,0.0491803278689,0.0491803278689,0.0,0.0,0.338709677419,0
44.16,-0.0033537137681159423,-0.07402597402597402,-0.1481,0.1671,1.000000,0.0316,-0.16454545454545455,0.016493506493506487,-379.8,-4.932467532467532,5.5,0.05194805194805195,0.07792207792207792,0.012987012987012988,18.181818181818183,27.272727272727273,4.545454545454546,-0.049350649350649346,-1.0363636363636364,3.345,0.0394736842105,0.0394736842105,0.0394736842105,0.0394736842105,0.0666666666667,0.0,0.337662337662,0
